step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,246,246,376.6223
10,1.000000e-09,246,246,414.2846
20,2.000000e-09,246,246,451.9468
30,3.000000e-09,246,246,489.6090
40,4.000000e-09,246,246,527.2712
50,5.000000e-09,246,246,564.9334
60,6.000000e-09,246,246,602.5955
70,7.000000e-09,492,492,640.2574
80,8.000000e-09,492,492,677.9217
90,9.000000e-09,492,492,715.5887
100,1.000000e-08,492,492,753.2579
110,1.100000e-08,492,492,790.9291
120,1.200000e-08,492,492,828.6021
130,1.300000e-08,492,492,866.2765
140,1.400000e-08,492,492,903.9521
150,1.500000e-08,492,492,941.6290
160,1.600000e-08,492,492,979.3068
170,1.700000e-08,492,492,1016.9855
180,1.800000e-08,492,492,1054.6651
190,1.900000e-08,492,492,1092.3453
200,2.000000e-08,492,492,1130.0262
