step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,66,66,50.2465
10,1.000000e-09,66,66,56.5273
20,2.000000e-09,66,66,62.8081
30,3.000000e-09,66,66,69.0889
40,4.000000e-09,66,66,75.3698
50,5.000000e-09,66,66,81.6506
60,6.000000e-09,132,132,87.9314
70,7.000000e-09,132,132,94.2125
80,8.000000e-09,126,128,97.4666
90,9.000000e-09,80,80,65.0692
100,1.000000e-08,60,60,50.1668
110,1.100000e-08,44,44,40.2254
120,1.200000e-08,40,40,33.5656
130,1.300000e-08,32,32,27.5641
140,1.400000e-08,28,28,21.6611
150,1.500000e-08,20,20,15.4997
