step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,144,144,41350.697695312345,303230283410.2153,6.060874397576351e-26
2,1.1e-12,144,144,41353.682210609724,303252169266.317,4.7765148477551545e-25
4,2.684e-12,144,144,41357.9801793263,303283686854.76544,4.969997847810872e-25
6,4.96496e-12,144,144,41364.16980733101,303329076237.7428,4.993846508809968e-25
8,8.2495424e-12,144,144,41373.08401839943,303394445358.4423,4.787797071598909e-25
10,1.2979341055999999e-11,144,144,41385.922856927165,303488594305.43494,3.939859735841425e-25
12,1.9790251120639998e-11,144,144,41404.41570267985,303624204855.46643,2.1299468327178415e-25
14,2.9597961613721594e-11,144,144,41431.05557668484,303819558670.3903,3.348684525711808e-25
16,4.37210647237591e-11,144,144,41469.43804402072,304101022517.36096,4.081363016619832e-25
18,6.40583332022131e-11,144,144,41524.75228042781,304506649326.9962,7.027821695053856e-25
20,9.334399981118687e-11,144,144,41604.49460484045,305091410624.3655,4.715988578017022e-25
22,1.355153597281091e-10,144,144,41719.50876338226,305934825072.8422,3.30967759610659e-25
24,1.9624211800847706e-10,144,144,41885.509905679835,307152133999.43427,5.683004055716224e-25
26,2.8368864993220693e-10,144,144,42125.331986561214,308910781896.73285,3.693957200543886e-25
28,4.0961165590237797e-10,168,168,42469.05081705513,311431318772.60547,3.423438509059662e-25
30,5.909407844994243e-10,184,184,42962.330930048425,315048608849.9271,5.329500072048475e-25
32,7.909407844994243e-10,216,216,43505.61184589958,319032561606.8737,6.479752220836348e-25
34,9.909407844994242e-10,241,241,44053.45680684969,323049983126.52545,6.505036567322154e-25
36,1.1909407844994243e-09,272,272,44606.42595242004,327104980988.08295,7.25645764885238e-25
38,1.3909407844994245e-09,272,272,45177.36425614197,331291749127.35364,9.63114826312159e-25
40,1.5909407844994246e-09,276,276,45757.887380221364,335548804056.3382,3.472463195707659e-25
42,1.7909407844994247e-09,276,276,46343.45587383733,339842857365.5134,8.883804954440985e-25
44,1.990940784499425e-09,276,276,46934.32502690326,344175781130.4937,1.0533848306694275e-24
46,2.190940784499425e-09,279,279,47528.580669621224,348533538484.124,8.334356569924855e-25
48,2.390940784499425e-09,280,280,48126.52843474811,352918370672.9285,6.325606662438612e-25
50,2.5909407844994253e-09,280,280,48729.338618132395,357338859635.34094,5.610965157485149e-25
52,2.7909407844994254e-09,280,280,49336.090314739966,361788252249.6474,9.581885893912102e-25
54,2.9909407844994255e-09,283,283,49945.78969386397,366259260620.2695,5.957478443587409e-25
56,3.1909407844994257e-09,284,284,50558.8976249563,370755264365.50385,3.730254627165367e-25
58,3.390940784499426e-09,286,286,51176.53366778176,375284473369.19037,4.593637026333538e-25
60,3.590940784499426e-09,286,286,51797.48069988479,379837962307.02466,9.5768827905972e-25
62,3.790940784499426e-09,286,286,52422.119319959435,384418522160.9318,6.946289920040739e-25
64,3.990940784499426e-09,287,287,53049.752845964795,389021044066.8665,7.541581046849323e-25
66,4.190940784499426e-09,287,287,53680.99275930099,393650012101.00134,9.299974319206164e-25
68,4.3909407844994265e-09,287,287,54315.48605856118,398302837656.06714,9.42765554467853e-25
70,4.590940784499427e-09,287,287,54953.140117739895,402978841492.98315,5.643604520441197e-25
72,4.790940784499427e-09,288,288,55593.560176241874,407675128778.6789,1.1154108589216738e-24
74,4.990940784499427e-09,288,288,56237.3424788103,412396071856.8518,5.697504015307576e-25
76,5.190940784499427e-09,288,288,56884.18602443226,417139463446.18524,7.669797978816146e-25
78,5.390940784499427e-09,288,288,57534.006184062426,421904682950.3936,1.2619028507722051e-24
80,5.590940784499427e-09,288,288,58186.767613627795,426691471186.5883,6.068871370033588e-25
82,5.7909407844994275e-09,288,288,58842.42425751701,431499490422.71484,8.502557059345245e-25
84,5.990940784499428e-09,292,292,59500.95558381096,436328590095.42145,7.350235467790794e-25
86,6.190940784499428e-09,296,296,60161.56429667858,441172923526.07153,5.620930039544604e-25
88,6.390940784499428e-09,298,298,60825.04778429483,446038338070.4718,9.405102333275122e-25
90,6.590940784499428e-09,300,300,61491.43936668182,450925078068.87085,7.610674696923921e-25
92,6.790940784499428e-09,301,301,62161.18504749973,455836414126.69525,5.11742510186062e-25
94,6.990940784499428e-09,303,303,62833.58384903254,460767205879.13025,1.0351893185454436e-24
96,7.1909407844994284e-09,305,305,63508.93806958681,465719670120.72327,3.871116644006702e-25
98,7.3909407844994286e-09,307,307,64186.89387581387,470691212143.4626,7.407098506035504e-25
100,7.590940784499427e-09,307,307,64867.94420259695,475685446705.8086,9.161247728273053e-25
