step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,66,66,50.2465
5,5.000000e-10,66,66,47.1061
10,1.000000e-09,66,66,43.9657
15,1.500000e-09,66,66,40.8253
20,2.000000e-09,66,66,37.6849
25,2.500000e-09,66,66,34.5445
30,3.000000e-09,66,66,31.4041
35,3.500000e-09,66,66,28.2637
40,4.000000e-09,66,66,25.1233
45,4.500000e-09,66,66,21.9828
47,4.700000e-09,0,0,0.0000
