step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,123,123,94.1556
5,5.000000e-10,123,123,103.4818
10,1.000000e-09,123,123,112.8393
15,1.500000e-09,123,123,122.2085
20,2.000000e-09,123,123,131.6075
25,2.500000e-09,123,123,141.0304
30,3.000000e-09,129,129,150.4454
35,3.500000e-09,237,237,159.8592
40,4.000000e-09,240,240,169.2739
45,4.500000e-09,242,242,178.6894
50,5.000000e-09,242,242,188.1057
55,5.500000e-09,243,243,197.5226
60,6.000000e-09,243,243,206.9400
65,6.500000e-09,244,244,216.3578
70,7.000000e-09,245,245,225.7759
75,7.500000e-09,246,246,235.1945
80,8.000000e-09,248,248,244.6133
85,8.500000e-09,248,248,254.0324
90,9.000000e-09,248,248,263.4518
95,9.500000e-09,251,251,272.8713
100,1.000000e-08,257,257,282.2911
