# Step Strain Stress Density Walltime
5 0.000000e+00 1.500000e+06 2.545159e+16 2.581758e-03
10 0.000000e+00 1.500000e+06 2.544185e+16 4.379275e-03
15 0.000000e+00 1.500000e+06 2.543210e+16 6.144563e-03
20 0.000000e+00 1.500000e+06 2.542235e+16 7.957101e-03
25 0.000000e+00 1.500000e+06 2.541259e+16 9.702056e-03
30 0.000000e+00 1.500000e+06 2.540284e+16 1.146395e-02
