step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,162,162,48218.3261271974,353591535621.75006,8.63167457503662e-09
3,1.82e-12,222,222,48221.957287234734,353618163411.5722,8.631674575036623e-09
6,4.96496e-12,222,222,48228.23232342521,353664179104.3779,8.631674575036625e-09
9,1.039945088e-11,222,222,48239.07675415084,353743702788.03094,8.631674575036622e-09
12,1.9790251120639998e-11,222,222,48257.81942292621,353881145324.22455,8.63167457503662e-09
15,3.601755393646592e-11,222,222,48290.2172039077,354118722653.17957,8.631674575036622e-09
18,6.40583332022131e-11,222,222,48346.23299405516,354529494051.6943,8.631674575036622e-09
21,1.1251279977342424e-10,222,222,48443.126891857006,355240030166.65094,8.631674575036622e-09
24,1.9624211800847706e-10,256,256,48609.56823918987,356460567176.5657,8.631674575036623e-09
27,3.409263799186483e-10,296,296,48891.40287121716,358527298818.5358,8.631674575036619e-09
30,5.909407844994243e-10,324,324,49379.02436379016,362103093463.63043,8.631674575036623e-09
33,8.909407844994242e-10,324,324,49992.23259532287,366599832725.61926,8.631674575036622e-09
36,1.1909407844994243e-09,324,324,50612.79235823235,371150481765.84937,8.63167457503662e-09
39,1.4409407844994245e-09,324,324,51103.42807504855,374748380126.7811,8.631674575036622e-09
42,1.6109407844994245e-09,324,324,51257.555758646355,375878619367.7993,8.63167457503662e-09
45,1.6709407844994247e-09,323,323,51302.451385667395,376207845099.5096,8.631674575036622e-09
48,1.7364607844994247e-09,323,323,51387.93837659991,376834732816.84283,8.631674575036619e-09
51,1.8496793444994247e-09,323,323,51535.97200903037,377920283552.81555,8.63167457503662e-09
54,2.0453210161794245e-09,322,322,51811.053077287,379937490394.23,8.631674575036622e-09
57,2.1343272272514247e-09,321,321,51937.83334101383,380867187290.3737,8.631674575036623e-09
60,2.176585828334305e-09,321,321,52003.34343242695,381347581689.8056,8.631674575036619e-09
63,2.2496086910055214e-09,321,321,52118.90912840761,382195040637.2441,8.631674575036623e-09
66,2.3757921977013838e-09,321,321,52321.72504525162,383682317306.6213,8.631674575036619e-09
69,2.5938372972718336e-09,321,321,52674.74260173222,386271043003.32294,8.631674575036622e-09
72,2.7938372972718338e-09,320,320,53000.27708585221,388658231597.0161,8.63167457503662e-09
75,3.012237297271834e-09,318,318,53374.49918055923,391402453053.024,8.631674575036622e-09
78,3.3122372972718344e-09,318,318,53901.92140357649,395270111861.1243,8.63167457503662e-09
81,3.5622372972718345e-09,318,318,54341.48308187897,398493477359.57495,8.631674575036622e-09
84,3.744237297271834e-09,318,318,54672.987037572195,400924440899.2267,8.63167457503662e-09
87,4.030637297271834e-09,318,318,55193.03339047315,404738011449.8024,8.631674575036619e-09
90,4.3306372972718345e-09,318,318,55741.19896341584,408757784060.7487,8.631674575036622e-09
93,4.480637297271835e-09,316,316,56016.788103994215,410778716665.5166,8.63167457503662e-09
96,4.589837297271835e-09,316,316,56222.558852502814,412287661516.8841,8.631674575036622e-09
99,4.778534897271835e-09,316,316,56579.252790782746,414903346620.7316,8.63167457503662e-09
102,5.068114417271835e-09,316,316,57128.98041765591,418934573985.3444,8.631674575036619e-09
105,5.368114417271835e-09,316,316,57701.15100105362,423130378598.8744,8.631674575036622e-09
108,5.568114417271835e-09,316,316,58081.56747576827,425920024284.9426,8.631674575036622e-09
111,5.786514417271835e-09,316,316,58506.32670395594,429034841405.8894,8.631674575036622e-09
114,6.086514417271835e-09,316,316,59091.99700163081,433329641258.0579,8.631674575036622e-09
117,6.386514417271835e-09,316,316,59679.908669389406,437640877381.5254,8.631674575036622e-09
120,6.686514417271835e-09,316,316,60270.78607639234,441973861673.74695,8.631674575036625e-09
123,6.8865144172718345e-09,315,315,60666.83695975753,444878156602.27747,8.631674575036623e-09
126,7.1049144172718345e-09,315,315,61105.158701842156,448092429480.0056,8.631674575036619e-09
129,7.404914417271835e-09,316,316,61708.59244326387,452517491078.21265,8.631674575036622e-09
132,7.704914417271833e-09,316,316,62314.0274936341,456957228546.8033,8.631674575036623e-09
135,8.004914417271831e-09,317,317,62922.111726264266,461416392828.7793,8.631674575036619e-09
138,8.304914417271829e-09,322,322,63533.187433830506,465897494002.8332,8.631674575036625e-09
141,8.46491441727183e-09,325,325,63861.03433439525,468301639860.4417,8.631674575036623e-09
144,8.72331441727183e-09,329,329,64394.72665702549,472215278160.75433,8.631674575036623e-09
147,9.023314417271827e-09,333,333,65016.70352806629,476776319047.41595,8.631674575036623e-09
150,9.323314417271825e-09,337,337,65639.9689795951,481346809269.8408,8.631674575036623e-09
