step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,51,51,14993.96065383214,879622002415.4141,1.3096959178522928e-24
2,1.1e-12,51,51,14995.412612962189,879707181723.7292,2.2411742695074365e-24
4,2.684e-12,51,51,14997.503748559522,879829858374.9434,1.5109852256841364e-24
6,4.96496e-12,51,51,15000.515635085456,880006550959.2548,1.5478608788879551e-24
8,8.2495424e-12,51,51,15004.854099799093,880261067368.0226,1.5119877392389644e-24
10,1.2979341055999999e-11,51,51,15011.10427742578,880627734580.6669,1.6376001468788344e-24
12,1.9790251120639998e-11,51,51,15020.1102944408,881156073350.0842,7.480178602256773e-25
14,2.9597961613721594e-11,51,51,15033.090846402252,881917578556.9071,7.628264166690162e-25
16,4.37210647237591e-11,51,51,15051.80731220025,883015581646.5155,1.431701181897383e-24
18,6.40583332022131e-11,51,51,15078.809226104662,884599651268.012,1.485544146428368e-24
20,9.334399981118687e-11,51,51,15117.794382939263,886886718875.5,1.740599740481191e-24
22,1.355153597281091e-10,61,61,15173.181333014236,890135999106.216,1.5641357282930806e-24
24,1.9624211800847706e-10,68,68,15248.292785061352,894542418956.1393,1.726877294458506e-24
26,2.8368864993220693e-10,77,77,15357.246908766885,900934222074.6023,1.9896441531742326e-24
28,4.0961165590237797e-10,84,84,15520.341096595266,910502156751.2384,1.0825518491927467e-24
30,5.909407844994243e-10,89,89,15762.740421533177,924722534175.7673,1.4364400188235311e-24
32,7.898475819159949e-10,94,94,16040.623803144092,941024586863.0997,1.656349483721304e-24
34,9.89847581915995e-10,96,96,16327.01339835092,957825657308.9117,2.0097077202987635e-24
36,1.189847581915995e-09,96,96,16618.0589566524,974899870233.5555,1.5644806306256342e-24
38,1.3898475819159952e-09,97,97,16914.09365991519,992266771780.1403,2.138896228573628e-24
40,1.5898475819159954e-09,100,100,17211.9138967525,1009738421808.7612,3.4310652254803576e-24
42,1.7898475819159955e-09,100,100,17512.682290435332,1027383025714.4641,2.1367483536885412e-24
44,1.9898475819159956e-09,100,100,17817.378732885347,1045258068941.8341,2.799441712223767e-24
46,2.1898475819159958e-09,100,100,18124.872259079886,1063297203329.7109,1.2892008414003324e-24
48,2.389847581915996e-09,100,100,18434.988492495682,1081490199064.231,2.7851350090221632e-24
50,2.589847581915996e-09,100,100,18747.680908266633,1099834326760.0884,2.05587861392043e-24
52,2.789847581915996e-09,101,101,19062.861470762404,1118324421799.3926,2.7792264950623086e-24
54,2.9898475819159963e-09,102,102,19380.46328009135,1136956559494.1975,2.989952877387169e-24
56,3.1898475819159965e-09,102,102,19700.32538534899,1155721297645.7295,3.898866801655021e-24
58,3.3898475819159966e-09,102,102,20023.179016454196,1174661533920.6106,3.941852179870204e-24
60,3.5898475819159967e-09,102,102,20348.600266830977,1193752399802.7878,2.3914738883657208e-24
62,3.789847581915997e-09,102,102,20676.57729712471,1212993200735.495,1.805438755713342e-24
64,3.989847581915997e-09,102,102,21007.100374567315,1232383365745.0496,4.004720178370388e-24
66,4.189847581915997e-09,103,103,21340.157552697518,1251922193991.2634,2.022416704807546e-24
68,4.389847581915997e-09,106,106,21674.598679624578,1271542211713.6965,2.439643110374837e-24
70,4.5898475819159974e-09,109,109,22011.89630144645,1291329805956.9214,2.1375218372808214e-24
72,4.7898475819159976e-09,110,110,22351.632392375373,1311260453201.838,3.2697420320607652e-24
74,4.989847581915998e-09,111,111,22694.235047694765,1331359267695.3826,3.5800739078675296e-24
76,5.189847581915998e-09,113,113,23039.710778854944,1351626631432.3535,4.4387888576971334e-24
78,5.389847581915998e-09,114,114,23387.48130012871,1372028619230.401,4.15057069007206e-24
80,5.589847581915998e-09,114,114,23738.178699546643,1392602312588.6687,4.76345785325368e-24
82,5.789847581915998e-09,117,117,24090.990032318772,1413300020030.5352,3.3698407146214265e-24
84,5.989847581915998e-09,118,118,24445.97369933386,1434125167649.2048,3.864181758446725e-24
86,6.1898475819159985e-09,118,118,24803.729792626993,1455112959895.9712,3.0124740761275233e-24
88,6.389847581915999e-09,122,122,25163.432685730026,1476214961322.4617,2.5206789705718057e-24
90,6.589847581915999e-09,123,123,25525.2528588164,1497441173162.8394,3.1496143089251756e-24
92,6.789847581915999e-09,123,123,25889.53780130246,1518811980913.8572,4.019621067096333e-24
94,6.989847581915999e-09,128,128,26255.867148411482,1540302723839.424,2.037436648667516e-24
96,7.189847581915999e-09,128,128,26623.954130391205,1561896578567.1472,3.482630324565887e-24
98,7.389847581915999e-09,130,130,26994.756939466402,1583649757527.0122,3.400361202618881e-24
100,7.589847581915999e-09,132,132,27367.278377224087,1605503759987.6187,3.2262985721305084e-24
