step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,51,51,14993.96065383214,879622002415.4141,1.3096959178522928e-24
2,1.1e-12,51,51,14995.412612962189,879707181723.7292,2.2411742695074365e-24
4,2.684e-12,51,51,14997.503748559522,879829858374.9434,1.5109852256841364e-24
6,4.96496e-12,51,51,15000.515635085456,880006550959.2548,1.5478608788879551e-24
8,8.2495424e-12,51,51,15004.854099799093,880261067368.0226,1.5119877392389644e-24
10,1.2979341055999999e-11,51,51,15011.10427742578,880627734580.6669,1.6376001468788344e-24
12,1.9790251120639998e-11,51,51,15020.1102944408,881156073350.0842,7.480178602256773e-25
14,2.9597961613721594e-11,51,51,15033.090846402252,881917578556.9071,7.628264166690162e-25
16,4.37210647237591e-11,51,51,15051.80731220025,883015581646.5155,1.431701181897383e-24
18,6.40583332022131e-11,51,51,15078.809226104662,884599651268.012,1.485544146428368e-24
20,9.334399981118687e-11,51,51,15117.794382939263,886886718875.5,1.740599740481191e-24
22,1.355153597281091e-10,61,61,15173.181333014236,890135999106.216,1.5641357282930806e-24
24,1.9624211800847706e-10,68,68,15248.292785061352,894542418956.1393,1.726877294458506e-24
26,2.8368864993220693e-10,77,77,15357.246908766885,900934222074.6023,1.9896441531742326e-24
28,4.0961165590237797e-10,84,84,15520.341096595266,910502156751.2384,1.0825518491927467e-24
30,5.909407844994243e-10,89,89,15762.740421529454,924722534175.5488,1.3092049878810989e-24
32,7.898475819159949e-10,94,94,16040.623803143677,941024586863.0753,1.8819966566977225e-24
34,9.89847581915995e-10,96,96,16327.01339834955,957825657308.8314,2.1367913323445992e-24
36,1.189847581915995e-09,96,96,16618.058956646084,974899870233.1849,1.874662840879396e-24
38,1.3898475819159952e-09,97,97,16914.093659912854,992266771780.0033,1.438484410562679e-24
40,1.5898475819159954e-09,100,100,17211.91389675124,1009738421808.6874,2.2914594319623695e-24
42,1.7898475819159955e-09,100,100,17512.682290433382,1027383025714.3496,2.561535189978103e-24
44,1.9898475819159956e-09,100,100,17817.378732880192,1045258068941.5316,2.7799533580057195e-24
46,2.1898475819159958e-09,100,100,18124.87225907674,1063297203329.5264,3.51763145899843e-24
48,2.389847581915996e-09,100,100,18434.988492490236,1081490199063.9114,1.0914623475692883e-24
50,2.589847581915996e-09,100,100,18747.68090825852,1099834326759.6123,1.2403339194098778e-24
52,2.789847581915996e-09,101,101,19062.861470753716,1118324421798.883,3.6893005957194486e-24
54,2.9898475819159963e-09,102,102,19380.46328008233,1136956559493.6682,3.1777136144637203e-24
56,3.1898475819159965e-09,102,102,19700.32538534506,1155721297645.499,2.022325885187642e-24
58,3.3898475819159966e-09,102,102,20023.179016449772,1174661533920.351,1.738742227450944e-24
60,3.5898475819159967e-09,102,102,20348.600266824134,1193752399802.3862,2.5557565415612816e-24
62,3.789847581915997e-09,102,102,20676.577297120046,1212993200735.2217,2.246655857009594e-24
64,3.989847581915997e-09,102,102,21007.100374563575,1232383365744.83,1.740273252192952e-24
66,4.189847581915997e-09,103,103,21340.157552692326,1251922193990.9587,3.553244153136769e-24
68,4.389847581915997e-09,106,106,21674.598679619394,1271542211713.3923,2.9402581692471868e-24
70,4.5898475819159974e-09,109,109,22011.89630144127,1291329805956.6177,2.0920774152487054e-24
72,4.7898475819159976e-09,110,110,22351.632392363692,1311260453201.1526,2.3160352965989333e-24
74,4.989847581915998e-09,111,111,22694.235047683465,1331359267694.7197,2.6361842691215022e-24
76,5.189847581915998e-09,113,113,23039.71077885746,1351626631432.5012,3.476877004045587e-24
78,5.389847581915998e-09,114,114,23387.481300115785,1372028619229.6423,4.091797259280065e-24
80,5.589847581915998e-09,114,114,23738.178699540655,1392602312588.3174,2.097841902261287e-24
82,5.789847581915998e-09,117,117,24090.99003231104,1413300020030.0815,3.0622714092132326e-24
84,5.989847581915998e-09,118,118,24445.973699325456,1434125167648.7117,3.75444141055498e-24
86,6.1898475819159985e-09,118,118,24803.729792620637,1455112959895.5984,4.1063486360221634e-24
88,6.389847581915999e-09,122,122,25163.43268572319,1476214961322.0608,3.88701269143913e-24
90,6.589847581915999e-09,123,123,25525.252858806387,1497441173162.252,3.200118723980396e-24
92,6.789847581915999e-09,123,123,25889.53780129468,1518811980913.4006,3.997995511040298e-24
94,6.989847581915999e-09,128,128,26255.867148401412,1540302723838.833,2.9411794226293198e-24
96,7.189847581915999e-09,128,128,26623.954130378508,1561896578566.4023,2.111107914945921e-24
98,7.389847581915999e-09,130,130,26994.756939457162,1583649757526.4702,2.243137720804574e-24
100,7.589847581915999e-09,132,132,27367.278377217895,1605503759987.2554,3.705841843152284e-24
