step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,396,396,1204.5502
10,1.000000e-09,396,396,1279.8345
20,2.000000e-09,396,396,1355.1189
30,3.000000e-09,396,396,1430.4033
40,4.000000e-09,396,396,1505.6876
50,5.000000e-09,396,396,1580.9720
60,6.000000e-09,396,396,1656.2564
70,7.000000e-09,396,396,1731.5407
80,8.000000e-09,396,396,1806.8251
90,9.000000e-09,396,396,1882.1094
100,1.000000e-08,396,396,1957.3937
110,1.100000e-08,788,788,2032.6775
120,1.200000e-08,792,792,2107.9648
130,1.300000e-08,792,792,2183.2580
140,1.400000e-08,792,792,2258.5562
150,1.500000e-08,792,792,2333.8591
160,1.600000e-08,792,792,2409.1661
170,1.700000e-08,792,792,2484.4769
180,1.800000e-08,792,792,2559.7912
190,1.900000e-08,792,792,2635.1086
200,2.000000e-08,792,792,2710.4290
210,2.100000e-08,792,792,2785.7520
220,2.200000e-08,792,792,2861.0774
230,2.300000e-08,792,792,2936.4051
240,2.400000e-08,792,792,3011.7350
250,2.500000e-08,792,792,3087.0667
260,2.600000e-08,792,792,3162.4002
270,2.700000e-08,792,792,3237.7355
280,2.800000e-08,792,792,3313.0723
290,2.900000e-08,792,792,3388.4105
300,3.000000e-08,792,792,3463.7502
