step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,408,408,120465.57011528709,110423798760.27066,1.0118853553148064e-25
2,1.1e-12,408,408,120471.21925549084,110428976999.33456,1.5001154371907502e-25
4,2.684e-12,408,408,120479.35426092468,110436433886.82599,1.2223862296032924e-25
6,4.96496e-12,408,408,120491.06917363044,110447172267.6088,5.930591777494893e-26
8,8.2495424e-12,408,408,120507.93969447672,110462636495.24767,1.579148628127407e-25
10,1.2979341055999999e-11,408,408,120532.23541368687,110484906971.41966,1.0706426090357875e-25
12,1.9790251120639998e-11,408,408,120567.22574414368,110516980577.22438,1.3658127210382407e-25
14,2.9597961613721594e-11,408,408,120617.62113103631,110563175104.46858,9.918155420695745e-26
16,4.37210647237591e-11,408,408,120690.2097698728,110629712898.12605,1.0328419812831261e-25
18,6.40583332022131e-11,408,408,120794.77932125023,110725565738.79001,1.7814192350114829e-25
20,9.334399981118687e-11,408,408,120945.44419919646,110863671490.88708,1.5189192632542133e-25
22,1.355153597281091e-10,408,408,121162.57806196391,111062705504.86575,1.4549069992891875e-25
24,1.9624211800847706e-10,476,476,121472.60741084123,111346891421.20221,9.778645954960943e-26
26,2.8368864993220693e-10,523,523,121912.46099644795,111750079682.99799,9.309562601812712e-26
28,4.0961165590237797e-10,620,620,122546.36460038992,112331142337.8969,1.6127471726062977e-25
30,5.909407844994243e-10,684,684,123456.55551457254,113165461540.01366,1.935257124403398e-25
32,7.909407844994243e-10,726,726,124483.55330671069,114106850830.0637,1.7838692847224294e-25
34,9.909407844994242e-10,748,748,125521.65180664099,115058415494.88818,2.112863371682433e-25
36,1.1909407844994243e-09,748,748,126573.90248401505,116022952639.67168,1.7932909787876818e-25
38,1.3909407844994245e-09,748,748,127634.97456630273,116995575854.52505,1.677809567015257e-25
40,1.5909407844994246e-09,748,748,128700.38631506462,117972176989.84961,1.841731885077745e-25
42,1.7909407844994247e-09,748,748,129769.96350840272,118952596346.53976,1.2449799638351248e-25
44,1.990940784499425e-09,748,748,130843.61708455955,119936752286.84973,2.08209072107488e-25
46,2.190940784499425e-09,756,756,131920.01424519566,120923423111.87018,1.8394271703684316e-25
48,2.390940784499425e-09,756,756,133000.38376775966,121913735170.59506,1.8125861868924098e-25
50,2.5909407844994253e-09,756,756,134085.2557495014,122908174372.41728,2.428884515013577e-25
52,2.7909407844994254e-09,756,756,135174.06974851844,123906226992.76149,1.803349854530128e-25
54,2.9909407844994255e-09,757,757,136266.58463796845,124907672004.64145,2.71036977019838e-25
56,3.1909407844994257e-09,764,764,137361.60017466836,125911409214.76881,2.791352708013486e-25
58,3.390940784499426e-09,764,764,138459.82987390505,126918092661.2092,1.8709987660477182e-25
60,3.590940784499426e-09,764,764,139562.34804962008,127928707105.22162,1.9514276966460311e-25
62,3.790940784499426e-09,764,764,140668.46131703386,128942616961.20847,1.9883320396102087e-25
64,3.990940784499426e-09,764,764,141777.90939291398,129959583642.63216,1.6000629491771563e-25
66,4.190940784499426e-09,764,764,142890.59957425232,130979522174.02371,1.5420769280038114e-25
68,4.3909407844994265e-09,764,764,144006.43899549937,132002347430.92195,2.2505587304131187e-25
70,4.590940784499427e-09,764,764,145125.3498009792,133027988047.54587,1.6600603260646323e-25
72,4.790940784499427e-09,764,764,146247.283238251,134056399335.36163,1.9200389195042341e-25
74,4.990940784499427e-09,764,764,147372.23536910836,135087577684.44383,2.5730115880253956e-25
76,5.190940784499427e-09,764,764,148500.1138032391,136121438405.95384,1.5707037854883627e-25
78,5.390940784499427e-09,764,764,149630.848237209,137157917056.8124,2.708112168306743e-25
80,5.590940784499427e-09,764,764,150764.39396140218,138196972654.30872,2.774352945863776e-25
82,5.7909407844994275e-09,764,764,151900.7008707862,139238559270.06662,2.3447365256427517e-25
84,5.990940784499428e-09,764,764,153039.73391970442,140282644779.76593,2.4584757385626627e-25
86,6.190940784499428e-09,764,764,154181.42395686195,141329165796.42688,2.44248967233056e-25
88,6.390940784499428e-09,764,764,155325.71505755384,142378071057.1171,2.4397820620392284e-25
90,6.590940784499428e-09,764,764,156472.56224016967,143429319329.8041,2.705010691196925e-25
92,6.790940784499428e-09,764,764,157621.95146109155,144482897741.51828,2.357256320948179e-25
94,6.990940784499428e-09,764,764,158773.8323371696,145538760108.94922,1.721280576070184e-25
96,7.1909407844994284e-09,764,764,159928.15199074126,146596857962.21167,1.9971664641372544e-25
98,7.3909407844994286e-09,764,764,161084.86728968733,147657151764.59442,2.2355452555583392e-25
100,7.590940784499427e-09,764,764,162243.95581418835,148719620965.14984,2.1836987432755805e-25
