step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,51,51,14993.96065383214,879622002415.4141,1.5150102425111502e-24
2,1.1e-12,51,51,14995.112382884041,879689568700.151,1.665045307421248e-24
4,2.684e-12,51,51,14996.77108495816,879786876601.2141,7.614029999752818e-25
6,4.96496e-12,51,51,14999.160055714408,879927025777.8619,1.3155073428294524e-24
8,8.2495424e-12,51,51,15002.601084526228,880128894031.6011,1.2717505105756563e-24
10,1.2979341055999999e-11,51,51,15007.558051978813,880419694957.2014,2.055032507226687e-24
12,1.9790251120639998e-11,51,51,15014.69998741742,880838677219.238,1.3298104351580712e-24
14,2.9597961613721594e-11,51,51,15024.992442562027,881442484993.1202,1.1823803269042157e-24
16,4.37210647237591e-11,51,51,15039.830234114374,882312945321.6501,1.109544620242436e-24
18,6.40583332022131e-11,51,51,15061.230877484719,883568415921.3806,1.225061499768029e-24
20,9.334399981118687e-11,51,51,15092.118201750143,885380423478.7476,2.3729576239870554e-24
22,1.355153597281091e-10,59,59,15136.501941885785,887984199443.8939,1.5439252239505836e-24
24,1.9624211800847706e-10,68,68,15196.42191696533,891499409979.7225,1.1700441105634414e-24
26,2.8368864993220693e-10,73,73,15279.767184433349,896388867325.5593,1.1711767461044283e-24
28,4.0961165590237797e-10,77,77,15407.622694595511,903889521920.1105,1.891585208577095e-24
30,5.909407844994243e-10,83,83,15603.705665148587,915392746396.9187,2.5188110954032944e-24
32,7.909407844994243e-10,88,88,15819.79583687212,928069695065.9258,1.3174562145991927e-24
34,9.909407844994242e-10,89,89,16046.051515487945,941343004078.5813,2.654081742769532e-24
36,1.1909407844994243e-09,90,90,16277.178601032925,954902094601.3081,1.3580281417720251e-24
38,1.3909407844994245e-09,90,90,16511.56354247745,968652307522.9858,2.5883198111372288e-24
40,1.5909407844994246e-09,90,90,16750.06920684407,982644263012.3427,1.932934382148477e-24
42,1.7909407844994247e-09,90,90,16991.680234080184,996818394883.8145,2.4820002180253833e-24
44,1.990940784499425e-09,90,90,17236.0426199527,1011153935448.3586,2.2884115304973647e-24
46,2.190940784499425e-09,90,90,17482.978688508632,1025640461330.7808,3.652927765881559e-24
48,2.390940784499425e-09,90,90,17732.368804979127,1040270954146.9884,1.3033346356306054e-24
50,2.5909407844994253e-09,90,90,17984.10744354394,1055039223215.5829,2.3001896709624335e-24
52,2.7909407844994254e-09,90,90,18238.103651056448,1069939932762.3276,2.1919929650859056e-24
54,2.9909407844994255e-09,90,90,18494.286804285206,1084968939669.224,1.2737933686903025e-24
56,3.1909407844994257e-09,90,90,18752.58883477567,1100122250694.4812,1.7263919579027954e-24
58,3.390940784499426e-09,90,90,19012.941033414732,1115395835012.019,3.4346031896325905e-24
60,3.590940784499426e-09,90,90,19275.2795426885,1130785946415.245,9.796330613301127e-25
62,3.790940784499426e-09,90,90,19539.55224201481,1146289527245.686,1.757601325603309e-24
64,3.990940784499426e-09,90,90,19805.710199438745,1161903706905.9614,2.3737532769893733e-24
66,4.190940784499426e-09,90,90,20073.706682179545,1177625743813.4348,2.4841730521597352e-24
68,4.3909407844994265e-09,93,93,20343.49565934212,1193452937561.652,3.29304100450145e-24
70,4.590940784499427e-09,95,95,20613.637683363333,1209300842834.4568,2.8496101911106892e-24
72,4.790940784499427e-09,97,97,20885.849376735474,1225270165439.2683,2.4507320062546016e-24
74,4.990940784499427e-09,98,98,21160.29734539817,1241370679327.9868,3.7427739706265435e-24
76,5.190940784499427e-09,99,99,21436.490666447477,1257573584465.8672,5.307341633725421e-24
78,5.390940784499427e-09,101,101,21714.876979773846,1273905141685.9138,2.8291042455437313e-24
80,5.590940784499427e-09,102,102,21994.463563928122,1290307112898.1975,5.12060946316835e-24
82,5.7909407844994275e-09,103,103,22275.91625496034,1306818559432.3518,4.3278261321548835e-24
84,5.990940784499428e-09,105,105,22558.91823548874,1323420895169.194,4.7198268921417364e-24
86,6.190940784499428e-09,105,105,22843.191833078068,1340097830431.2222,2.4612766171874733e-24
88,6.390940784499428e-09,106,106,23129.413376605768,1356889042110.7007,2.0753074709106294e-24
90,6.590940784499428e-09,107,107,23416.669055255374,1373740921416.8123,1.6793243682408927e-24
92,6.790940784499428e-09,109,109,23705.466914638142,1390683272889.412,3.2908929473502455e-24
94,6.990940784499428e-09,110,110,23995.415249123864,1407693117083.725,1.2188236073573837e-24
96,7.1909407844994284e-09,111,111,24286.903496754254,1424793300416.2507,4.1138115212044686e-24
98,7.3909407844994286e-09,114,114,24579.72449926353,1441971669929.3564,2.1544682215826502e-24
100,7.590940784499427e-09,117,117,24872.588799255587,1459152579493.0454,2.7474218407827238e-24
