step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,17,17,4997.986884610714,293207334138.4714,5.851177058310501e-25
2,1.1e-12,17,17,4998.185787773207,293219002809.753,1.99569878310228e-24
4,2.684e-12,17,17,4998.472256026733,293235808494.6959,6.24005211284235e-25
6,4.96496e-12,17,17,4998.88486917377,293260014480.7592,1.7520016049035735e-24
8,8.2495424e-12,17,17,4999.479236970105,293294883119.0899,7.678586095163244e-25
10,1.2979341055999999e-11,17,17,5000.335551011228,293345118856.59375,1.1188840349320104e-24
12,1.9790251120639998e-11,17,17,5001.5695220322505,293417509873.58344,3.5911000470588277e-25
14,2.9597961613721594e-11,17,17,5003.348258824796,293521859621.8155,9.083353215401417e-25
16,4.37210647237591e-11,17,17,5005.913399526159,293672343823.5754,7.78297457697319e-25
18,6.40583332022131e-11,17,17,5009.614965213742,293889496495.7315,1.0062238046984642e-25
20,9.334399981118687e-11,17,17,5014.961219689729,294203134978.3287,1.067568014786276e-24
22,1.355153597281091e-10,17,17,5022.692720403972,294656704138.4025,4.381314253100788e-25
24,1.9624211800847706e-10,17,17,5033.893456772913,295313796309.09973,1.1929399848015288e-24
26,2.8368864993220693e-10,17,17,5050.159812837727,296268063498.6749,1.4659612701545538e-24
28,4.0961165590237797e-10,22,22,5071.525251673654,297521468821.33984,1.1275507123013272e-24
30,5.909407844994243e-10,24,24,5101.721308623441,299292923121.67065,1.071421346611542e-24
32,7.909407844994243e-10,26,26,5139.241829010138,301494067704.8919,5.610811713376184e-25
34,9.909407844994242e-10,26,26,5177.062217627646,303712804083.88586,9.32862884669084e-25
36,1.1909407844994243e-09,28,28,5218.0053929936075,306114739018.36554,1.4220469842445314e-24
38,1.3909407844994245e-09,28,28,5258.105311102831,308467204192.72986,1.3300823275224519e-24
40,1.5909407844994246e-09,28,28,5300.8987268836,310977683641.64417,9.699292874444311e-25
42,1.7909407844994247e-09,32,32,5344.566243334044,313539442282.16925,1.2942486043731164e-24
44,1.990940784499425e-09,32,32,5385.6425341117365,315949186443.8252,5.698511335556479e-25
46,2.190940784499425e-09,32,32,5430.808198070613,318598834037.89,3.4618683176310813e-25
48,2.390940784499425e-09,32,32,5476.756683373881,321294405914.0298,6.505918857411161e-25
50,2.5909407844994253e-09,32,32,5523.374954275408,324029270820.3923,6.085824151297658e-25
52,2.7909407844994254e-09,32,32,5570.641985162185,326802195287.5664,8.38122729743368e-25
54,2.9909407844994255e-09,32,32,5618.5431421679805,329612320818.52045,1.3309451098341706e-24
56,3.1909407844994257e-09,32,32,5667.067168508512,332458987033.0277,1.395087692611582e-24
58,3.390940784499426e-09,32,32,5716.203478578522,335341572925.6378,2.740175542072719e-24
60,3.590940784499426e-09,32,32,5765.9428112573005,338259535191.90076,1.5188810022463569e-24
62,3.790940784499426e-09,32,32,5816.276399342476,341212359503.12897,4.908934119730769e-25
64,3.990940784499426e-09,32,32,5867.196101046775,344199568220.6658,7.27304927709162e-25
66,4.190940784499426e-09,32,32,5918.69476718618,347220741937.0106,4.725927704231569e-25
68,4.3909407844994265e-09,32,32,5970.765396240817,350275469907.3927,1.2540299183868945e-24
70,4.590940784499427e-09,34,34,6022.400667242267,353304657559.81934,7.719588943520277e-25
72,4.790940784499427e-09,34,34,6075.471309059686,356418051365.6766,4.4958861978895625e-25
74,4.990940784499427e-09,34,34,6129.235663732532,359572141896.374,1.0546618081003926e-24
76,5.190940784499427e-09,34,34,6183.559111469669,362759031670.1869,1.5990833483665284e-24
78,5.390940784499427e-09,34,34,6238.427564294963,365977894214.7732,2.5171425041956384e-24
80,5.590940784499427e-09,34,34,6293.833825612682,369228307341.22,2.0731601616108067e-24
82,5.7909407844994275e-09,34,34,6349.771978957813,372509923959.5942,3.055580224977308e-24
84,5.990940784499428e-09,34,34,6406.236457384783,375822417484.55084,2.476151858098805e-24
86,6.190940784499428e-09,34,34,6463.22191653604,379165474388.8905,1.1448877834368785e-24
88,6.390940784499428e-09,34,34,6520.723681719028,382538820431.3688,1.2820665618873952e-24
90,6.590940784499428e-09,34,34,6578.7368427685715,385942167556.72,2.7740048401083293e-24
92,6.790940784499428e-09,34,34,6637.256350012041,389375219525.461,1.8335772901211175e-24
94,6.990940784499428e-09,34,34,6696.27736641791,392837692572.71783,1.5496175507328103e-24
96,7.1909407844994284e-09,34,34,6755.795169085904,396329309629.13617,1.042752259412856e-24
98,7.3909407844994286e-09,34,34,6815.804791029706,399849779306.03296,1.5971295317801758e-24
100,7.590940784499427e-09,34,34,6876.301298386556,403398812157.92126,1.6583165959644276e-24
