# Step Strain Stress Density Walltime
5 0.000000e+00 1.000000e+06 1.336668e+16 2.113390e-03
10 0.000000e+00 1.000000e+06 1.336343e+16 3.355185e-03
15 0.000000e+00 1.000000e+06 1.336018e+16 4.563725e-03
20 0.000000e+00 1.000000e+06 1.335693e+16 5.718999e-03
25 0.000000e+00 1.000000e+06 1.335368e+16 6.906192e-03
30 0.000000e+00 1.000000e+06 1.335043e+16 8.076930e-03
