step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,144,144,41350.697695312345,303230283410.2153,6.060874397576351e-26
2,1.1e-12,144,144,41353.682210609724,303252169266.317,4.7765148477551545e-25
4,2.684e-12,144,144,41357.9801793263,303283686854.76544,4.969997847810872e-25
6,4.96496e-12,144,144,41364.16980733101,303329076237.7428,4.993846508809968e-25
8,8.2495424e-12,144,144,41373.08401839943,303394445358.4423,4.787797071598909e-25
10,1.2979341055999999e-11,144,144,41385.922856927165,303488594305.43494,3.939859735841425e-25
12,1.9790251120639998e-11,144,144,41404.41570267985,303624204855.46643,2.1299468327178415e-25
14,2.9597961613721594e-11,144,144,41431.05557668484,303819558670.3903,3.348684525711808e-25
16,4.37210647237591e-11,144,144,41469.43804402072,304101022517.36096,4.081363016619832e-25
18,6.40583332022131e-11,144,144,41524.75228042781,304506649326.9962,7.027821695053856e-25
20,9.334399981118687e-11,144,144,41604.49460484045,305091410624.3655,4.715988578017022e-25
22,1.355153597281091e-10,144,144,41719.50876338226,305934825072.8422,3.30967759610659e-25
24,1.9624211800847706e-10,144,144,41885.509905679835,307152133999.43427,5.683004055716224e-25
26,2.8368864993220693e-10,144,144,42125.331986561214,308910781896.73285,3.693957200543886e-25
28,4.0961165590237797e-10,168,168,42469.05081705513,311431318772.60547,3.423438509059662e-25
30,5.909407844994243e-10,184,184,42962.330930048425,315048608849.9271,5.329500072048475e-25
32,7.909407844994243e-10,216,216,43505.61184589958,319032561606.8737,5.814176307591348e-25
34,9.909407844994242e-10,241,241,44053.45680684631,323049983126.5007,6.356111757627716e-25
36,1.1909407844994243e-09,272,272,44606.425952444886,327104980988.26514,1.0094756577947433e-24
38,1.3909407844994245e-09,272,272,45177.3642561476,331291749127.39496,6.798947269765399e-25
40,1.5909407844994246e-09,276,276,45757.88738022049,335548804056.3318,7.635314919429931e-25
42,1.7909407844994247e-09,276,276,46343.45587383732,339842857365.51337,6.286628091235954e-25
44,1.990940784499425e-09,276,276,46934.32502690191,344175781130.4839,6.693168380488428e-25
46,2.190940784499425e-09,279,279,47528.58066962078,348533538484.1208,8.022291927112741e-25
48,2.390940784499425e-09,280,280,48126.52843474843,352918370672.93085,7.83922471738582e-25
50,2.5909407844994253e-09,280,280,48729.33861813269,357338859635.34314,8.296288837969085e-25
52,2.7909407844994254e-09,280,280,49336.09031474069,361788252249.6527,6.272849451759886e-25
54,2.9909407844994255e-09,283,283,49945.78969386527,366259260620.279,5.297417459336027e-25
56,3.1909407844994257e-09,284,284,50558.89762495873,370755264365.52167,7.081803331336587e-25
58,3.390940784499426e-09,286,286,51176.533667783195,375284473369.20087,5.846221156503524e-25
60,3.590940784499426e-09,286,286,51797.48069988783,379837962307.0469,9.576643055373261e-25
62,3.790940784499426e-09,286,286,52422.1193199624,384418522160.95355,1.0530087940421465e-24
64,3.990940784499426e-09,287,287,53049.75284596723,389021044066.8844,8.465584759146434e-25
66,4.190940784499426e-09,287,287,53680.99275930146,393650012101.00476,9.182587257476054e-25
68,4.3909407844994265e-09,287,287,54315.48605856132,398302837656.0682,6.333088109548192e-25
70,4.590940784499427e-09,287,287,54953.14011773953,402978841492.9805,9.222971445699609e-25
72,4.790940784499427e-09,288,288,55593.56017624268,407675128778.6848,5.626645479925449e-25
74,4.990940784499427e-09,288,288,56237.34247881119,412396071856.8583,1.2329401804086882e-24
76,5.190940784499427e-09,288,288,56884.18602443187,417139463446.1824,7.554052386191189e-25
78,5.390940784499427e-09,288,288,57534.00618406088,421904682950.3823,6.452945826941147e-25
80,5.590940784499427e-09,288,288,58186.76761362561,426691471186.57227,4.3709526458162525e-25
82,5.7909407844994275e-09,288,288,58842.42425751462,431499490422.6974,9.387051322723423e-25
84,5.990940784499428e-09,292,292,59500.95558380783,436328590095.3985,7.83063520862875e-25
86,6.190940784499428e-09,296,296,60161.56429667558,441172923526.04944,5.7511229250535945e-25
88,6.390940784499428e-09,298,298,60825.04778429211,446038338070.45184,1.125071492262213e-24
90,6.590940784499428e-09,300,300,61491.439366680075,450925078068.85803,8.900942058087138e-25
92,6.790940784499428e-09,301,301,62161.185047494866,455836414126.6595,7.341347480937685e-25
94,6.990940784499428e-09,303,303,62833.583849028335,460767205879.0994,6.953867088743915e-25
96,7.1909407844994284e-09,305,305,63508.93806958488,465719670120.70917,5.230495319889989e-25
98,7.3909407844994286e-09,307,307,64186.89387581033,470691212143.43665,6.556210106660194e-25
100,7.590940784499427e-09,307,307,64867.94420259303,475685446705.7799,9.867377613652183e-25
