# Step Strain Stress Density Walltime
5 0.000000e+00 1.000000e+06 1.696773e+16 2.382185e-03
10 0.000000e+00 1.000000e+06 1.696123e+16 3.799570e-03
15 0.000000e+00 1.000000e+06 1.695473e+16 5.238526e-03
20 0.000000e+00 1.000000e+06 1.694823e+16 6.634431e-03
25 0.000000e+00 1.000000e+06 1.694173e+16 7.992851e-03
30 0.000000e+00 1.000000e+06 1.693523e+16 9.400278e-03
