step,time_s,n_nodes,n_segs,line_length_b,density_m2,nye_norm
0,0.0,51,51,14993.960653832144,879622002415.4143,1.4818032242472316e-24
2,1.1e-12,51,51,14995.157302394595,879692203907.1343,1.1532446118656044e-24
4,2.684e-12,51,51,14996.88102009227,879793325955.3932,1.5921263529716832e-24
6,4.96496e-12,51,51,14999.364278456105,879939006522.719,1.9767825470052705e-24
8,8.2495424e-12,51,51,15002.942392679008,880148916903.9908,1.218456232190605e-24
10,1.2979341055999999e-11,51,51,15008.09927477058,880451445839.2291,1.9458262392489574e-24
12,1.9790251120639998e-11,51,51,15015.533658960128,880887584632.6083,1.950481290307842e-24
14,2.9597961613721594e-11,51,51,15026.254763120876,881516539138.2058,2.2753770874905445e-24
16,4.37210647237591e-11,51,51,15041.71944312308,882423775932.0262,1.0817429879805664e-24
18,6.40583332022131e-11,51,51,15064.025247244086,883732347865.7129,2.6363606231246644e-24
20,9.334399981118687e-11,51,51,15096.173076942645,885618303083.6577,1.2952504787446415e-24
22,1.355153597281091e-10,58,58,15142.299105521495,888324290551.4607,2.397399534297085e-24
24,1.9624211800847706e-10,68,68,15203.658575598747,891923949186.1995,2.3354085457789045e-24
26,2.8368864993220693e-10,69,69,15289.003876935267,896930738692.4257,1.7894019581744515e-24
28,4.0961165590237797e-10,79,79,15419.82921294646,904605618378.0293,1.1543539531930632e-24
30,5.607192630665832e-10,82,82,15575.782640758951,913754639748.9044,1.0388699393325003e-24
32,7.596260604831538e-10,83,83,15792.939123699623,926494143657.9628,2.6180592222575547e-24
34,9.596260604831539e-10,86,86,16014.631774178028,939499762229.1144,1.297933103639086e-24
36,1.159626060483154e-09,89,89,16243.79612719384,952943708877.7594,3.1247907599553377e-24
38,1.3596260604831541e-09,89,89,16483.22020342823,966989543079.007,2.4301007684751404e-24
40,1.5596260604831543e-09,90,90,16730.71399963934,981508788102.7004,2.2581129486091488e-24
42,1.7596260604831544e-09,91,91,16979.953940019306,996130470825.5299,2.2770665587725326e-24
44,1.9596260604831546e-09,92,92,17232.46555382165,1010944086553.4863,2.0129038949961255e-24
46,2.1596260604831547e-09,92,92,17488.741998679223,1025978566421.8795,2.269957272380379e-24
48,2.359626060483155e-09,93,93,17748.586852186065,1041222387293.2257,2.539065148886689e-24
50,2.559626060483155e-09,93,93,18011.519682215203,1056647364575.1205,2.876585744562404e-24
52,2.759626060483155e-09,93,93,18276.14252136534,1072171486388.6989,2.1184468429131553e-24
54,2.9596260604831552e-09,93,93,18542.307879145552,1087786100191.5176,3.2220972991461245e-24
56,3.1596260604831554e-09,94,94,18809.7506625503,1103475654279.4104,3.066961149734742e-24
58,3.3596260604831555e-09,94,94,19079.74124205729,1119314675046.6511,1.9187478222730856e-24
60,3.5596260604831556e-09,95,95,19351.312418288024,1135246421657.7998,3.614900045237899e-24
62,3.759626060483155e-09,96,96,19625.230019174924,1151315821474.944,2.5231369888819488e-24
64,3.9596260604831555e-09,97,97,19901.03824928151,1167496135219.2651,2.2998702473104304e-24
66,4.159626060483156e-09,99,99,20178.953240395243,1183800042280.8223,2.7126137233139127e-24
68,4.359626060483156e-09,101,101,20458.94044330113,1200225515826.9211,2.6341542599971747e-24
70,4.559626060483156e-09,102,102,20740.966264285773,1216770585079.4512,2.5455041120908264e-24
72,4.759626060483156e-09,104,104,21024.596312510716,1233409766462.1926,3.2994089407815366e-24
74,4.959626060483156e-09,104,104,21311.267152426088,1250227336153.2283,4.829189708050919e-24
76,5.159626060483156e-09,107,107,21599.31693150781,1267125801430.0745,4.732392103054216e-24
78,5.3596260604831565e-09,109,109,21889.50009719454,1284149422017.1653,2.389270203516167e-24
80,5.559626060483157e-09,110,110,22182.235796763933,1301322787225.9033,4.178950166041129e-24
82,5.759626060483157e-09,111,111,22477.092597558996,1318620587022.0413,2.2515378528584172e-24
84,5.959626060483157e-09,112,112,22773.922525964754,1336034140520.62,2.5387056938142404e-24
86,6.159626060483157e-09,113,113,23072.571742403197,1353554422709.452,1.305594133990425e-24
88,6.359626060483157e-09,117,117,23373.18558480173,1371189959850.6545,3.347306067982815e-24
90,6.559626060483157e-09,118,118,23674.9534285467,1388893196580.9507,2.3603863567879702e-24
92,6.7596260604831574e-09,118,118,23979.244452159637,1406744455877.0752,2.8682019692566305e-24
94,6.9596260604831576e-09,120,120,24285.38419423666,1424704170402.2632,3.298491272225233e-24
96,7.159626060483158e-09,122,122,24592.863732292968,1442742484174.7976,4.625709587287332e-24
98,7.359626060483158e-09,122,122,24901.711928323064,1460861090386.0889,3.5248428090023534e-24
100,7.559626060483156e-09,126,126,25212.408287618353,1479088119255.6526,2.6084923870789925e-24
