# Step Strain Stress Density Walltime
5 0.000000e+00 7.500000e+05 9.546378e+15 3.834198e-03
10 0.000000e+00 7.500000e+05 9.544754e+15 6.850218e-03
15 0.000000e+00 7.500000e+05 9.543129e+15 9.898387e-03
20 0.000000e+00 7.500000e+05 9.541505e+15 1.293676e-02
25 0.000000e+00 7.500000e+05 9.539880e+15 1.593735e-02
30 0.000000e+00 7.500000e+05 9.538255e+15 1.898278e-02
