step,time_s,n_nodes,n_segments,total_line_length_b
0,0.000000e+00,44,44,50.2228
10,1.000000e-09,44,44,56.5006
20,2.000000e-09,44,44,62.7785
30,3.000000e-09,44,44,69.0563
40,4.000000e-09,44,44,75.3342
50,5.000000e-09,44,44,81.6120
60,6.000000e-09,88,88,87.8899
70,7.000000e-09,88,88,94.1683
80,8.000000e-09,88,88,100.4471
90,9.000000e-09,88,88,106.7263
100,1.000000e-08,88,88,113.0058
110,1.100000e-08,88,88,119.2855
120,1.200000e-08,88,88,125.5654
130,1.300000e-08,88,88,131.8455
140,1.400000e-08,88,88,138.1258
150,1.500000e-08,88,88,144.4062
