# Step Strain Stress Density Walltime
5 0.000000e+00 5.000000e+05 8.483865e+15 1.845604e-03
10 0.000000e+00 5.000000e+05 8.480616e+15 2.948030e-03
15 0.000000e+00 5.000000e+05 8.477366e+15 3.961629e-03
20 0.000000e+00 5.000000e+05 8.474116e+15 4.960525e-03
25 0.000000e+00 5.000000e+05 8.470865e+15 5.961489e-03
30 0.000000e+00 5.000000e+05 8.467613e+15 6.943028e-03
